  PID   TID   UID COMM                        CMDLINE                     CMD             LABEL                          STAT  WCHAN 
    1     1     0 init                        /system/bin/init second_stage init          u:r:init:s0                    S     do_epoll_wait
    1   463     0 init                        /system/bin/init second_stage init          u:r:init:s0                    S<    do_epoll_wait
    1   464     0 init                        /system/bin/init second_stage init          u:r:init:s0                    S<    do_epoll_wait
    2     2     0 [kthreadd]                  [kthreadd]                  kthreadd        u:r:kernel:s0                  S     kthreadd
    3     3     0 [rcu_gp]                    [rcu_gp]                    rcu_gp          u:r:kernel:s0                  I<    rescuer_thread
    4     4     0 [rcu_par_gp]                [rcu_par_gp]                rcu_par_gp      u:r:kernel:s0                  I<    rescuer_thread
    5     5     0 [kworker/0:0-kdmflush]      [kworker/0:0-kdmflush]      kworker/0:0-kdmflush u:r:kernel:s0             I     worker_thread
    6     6     0 [kworker/0:0H-kblockd]      [kworker/0:0H-kblockd]      kworker/0:0H-kblockd u:r:kernel:s0             I<    worker_thread
    7     7     0 [kworker/0:1-events]        [kworker/0:1-events]        kworker/0:1-events u:r:kernel:s0               I     worker_thread
    8     8     0 [kworker/u16:0-rq_stats]    [kworker/u16:0-rq_stats]    kworker/u16:0-rq_stats u:r:kernel:s0           I     worker_thread
    9     9     0 [mm_percpu_wq]              [mm_percpu_wq]              mm_percpu_wq    u:r:kernel:s0                  I<    rescuer_thread
   10    10     0 [ksoftirqd/0]               [ksoftirqd/0]               ksoftirqd/0     u:r:kernel:s0                  S     smpboot_thread_fn
   11    11     0 [rcu_preempt]               [rcu_preempt]               rcu_preempt     u:r:kernel:s0                  I     rcu_gp_kthread
   12    12     0 [rcuog/0]                   [rcuog/0]                   rcuog/0         u:r:kernel:s0                  S     rcu_nocb_gp_kthread
   13    13     0 [rcuop/0]                   [rcuop/0]                   rcuop/0         u:r:kernel:s0                  S     rcu_nocb_cb_kthread
   14    14     0 [migration/0]               [migration/0]               migration/0     u:r:kernel:s0                  S     smpboot_thread_fn
   15    15     0 [cpuhp/0]                   [cpuhp/0]                   cpuhp/0         u:r:kernel:s0                  S     smpboot_thread_fn
   16    16     0 [cpuhp/1]                   [cpuhp/1]                   cpuhp/1         u:r:kernel:s0                  S     smpboot_thread_fn
   17    17     0 [migration/1]               [migration/1]               migration/1     u:r:kernel:s0                  S     smpboot_thread_fn
   18    18     0 [ksoftirqd/1]               [ksoftirqd/1]               ksoftirqd/1     u:r:kernel:s0                  S     smpboot_thread_fn
   19    19     0 [kworker/1:0-mm_percpu_wq]  [kworker/1:0-mm_percpu_wq]  kworker/1:0-mm_percpu_wq u:r:kernel:s0         I     worker_thread
